_id,DISTRICT,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST,POSITIVITY_RATE_ALL_TESTS,COVID_COUNT_BY_SPECIMEN_COLLECTION_DATE
1,1,2020-02-26T00:00:00,2.00,0.00,1.00,100.000000,2
2,1,2020-02-27T00:00:00,0.00,0.00,0.00,0.000000,0
3,1,2020-02-28T00:00:00,0.00,0.00,2.00,0.000000,0
4,1,2020-02-29T00:00:00,0.00,0.00,0.00,0.000000,0
5,1,2020-03-01T00:00:00,0.00,0.00,0.00,0.000000,0
6,1,2020-03-02T00:00:00,0.00,0.00,0.00,0.000000,0
7,1,2020-03-03T00:00:00,0.00,0.00,0.00,0.000000,0
8,1,2020-03-04T00:00:00,0.00,0.00,0.00,0.000000,0
9,1,2020-03-05T00:00:00,0.00,0.00,0.00,0.000000,0
10,1,2020-03-06T00:00:00,0.00,0.00,0.00,0.000000,0
11,1,2020-03-07T00:00:00,0.00,0.00,1.00,0.000000,0
12,1,2020-03-08T00:00:00,0.00,0.00,0.00,0.000000,0
13,1,2020-03-09T00:00:00,0.00,0.00,0.00,0.000000,0
14,1,2020-03-10T00:00:00,0.00,0.00,2.00,0.000000,0
15,1,2020-03-11T00:00:00,0.00,0.00,3.00,0.000000,0
16,1,2020-03-12T00:00:00,3.00,0.00,25.00,12.000000,3
17,1,2020-03-13T00:00:00,1.00,0.00,16.00,6.250000,1
18,1,2020-03-14T00:00:00,2.00,0.00,155.00,1.290323,2
19,1,2020-03-15T00:00:00,2.00,0.00,23.00,8.695652,2
20,1,2020-03-16T00:00:00,6.00,0.00,77.00,3.658537,6
21,1,2020-03-17T00:00:00,15.00,0.00,120.00,13.223140,15
22,1,2020-03-18T00:00:00,15.00,0.00,188.00,8.947368,15
23,1,2020-03-19T00:00:00,20.00,0.00,203.00,10.606061,20
24,1,2020-03-20T00:00:00,17.00,0.00,186.00,8.602151,17
25,1,2020-03-21T00:00:00,12.00,0.00,91.00,13.829787,12
26,1,2020-03-22T00:00:00,9.00,0.00,90.00,9.782609,9
27,1,2020-03-23T00:00:00,24.00,0.00,182.00,13.043478,24
28,1,2020-03-24T00:00:00,24.00,0.00,125.00,18.656716,24
29,1,2020-03-25T00:00:00,26.00,1.00,189.00,13.846154,26
30,1,2020-03-26T00:00:00,40.00,1.00,189.00,21.827411,40
31,1,2020-03-27T00:00:00,49.00,0.00,247.00,20.000000,49
32,1,2020-03-28T00:00:00,27.00,0.00,112.00,23.931624,27
33,1,2020-03-29T00:00:00,25.00,3.00,90.00,25.806452,25
34,1,2020-03-30T00:00:00,62.00,2.00,312.00,21.406728,62
35,1,2020-03-31T00:00:00,73.00,2.00,315.00,22.590361,73
36,1,2020-04-01T00:00:00,65.00,0.00,281.00,22.413793,65
37,1,2020-04-02T00:00:00,52.00,2.00,252.00,21.621622,52
38,1,2020-04-03T00:00:00,55.00,2.00,269.00,20.640569,55
39,1,2020-04-04T00:00:00,24.00,0.00,106.00,22.018349,24
40,1,2020-04-05T00:00:00,27.00,2.00,95.00,28.155340,27
41,1,2020-04-06T00:00:00,70.00,3.00,299.00,23.548387,70
42,1,2020-04-07T00:00:00,72.00,5.00,285.00,24.496644,72
43,1,2020-04-08T00:00:00,108.00,6.00,463.00,22.532189,108
44,1,2020-04-09T00:00:00,93.00,6.00,502.00,19.140625,93
45,1,2020-04-10T00:00:00,78.00,2.00,504.00,15.264188,78
46,1,2020-04-11T00:00:00,41.00,2.00,298.00,13.907285,41
47,1,2020-04-12T00:00:00,17.00,5.00,72.00,20.253165,17
48,1,2020-04-13T00:00:00,94.00,6.00,452.00,22.245322,94
49,1,2020-04-14T00:00:00,186.00,7.00,539.00,33.745583,186
50,1,2020-04-15T00:00:00,72.00,2.00,469.00,16.463415,72
51,1,2020-04-16T00:00:00,111.00,3.00,599.00,19.255663,111
52,1,2020-04-17T00:00:00,82.00,5.00,539.00,16.319444,82
53,1,2020-04-18T00:00:00,53.00,3.00,194.00,31.140351,53
54,1,2020-04-19T00:00:00,41.00,6.00,142.00,28.488372,41
55,1,2020-04-20T00:00:00,117.00,2.00,602.00,19.662058,117
56,1,2020-04-21T00:00:00,106.00,4.00,523.00,21.153846,106
57,1,2020-04-22T00:00:00,74.00,5.00,391.00,18.518519,74
58,1,2020-04-23T00:00:00,83.00,4.00,316.00,19.943020,83
59,1,2020-04-24T00:00:00,86.00,4.00,264.00,23.693380,86
60,1,2020-04-25T00:00:00,56.00,2.00,252.00,19.850187,56
61,1,2020-04-26T00:00:00,56.00,5.00,362.00,16.180371,56
62,1,2020-04-27T00:00:00,93.00,5.00,673.00,15.477793,93
63,1,2020-04-28T00:00:00,107.00,2.00,566.00,19.905956,107
64,1,2020-04-29T00:00:00,114.00,3.00,557.00,20.545746,114
65,1,2020-04-30T00:00:00,95.00,10.00,679.00,14.304124,95
66,1,2020-05-01T00:00:00,82.00,6.00,715.00,13.043478,82
67,1,2020-05-02T00:00:00,54.00,4.00,346.00,15.736041,54
68,1,2020-05-03T00:00:00,43.00,3.00,340.00,12.631579,43
69,1,2020-05-04T00:00:00,95.00,2.00,872.00,11.751904,95
70,1,2020-05-05T00:00:00,145.00,6.00,"1,047.00",14.739414,145
71,1,2020-05-06T00:00:00,80.00,7.00,631.00,14.366197,80
72,1,2020-05-07T00:00:00,83.00,7.00,802.00,12.076749,83
73,1,2020-05-08T00:00:00,77.00,6.00,949.00,8.552632,77
74,1,2020-05-09T00:00:00,79.00,4.00,672.00,11.265647,79
75,1,2020-05-10T00:00:00,20.00,7.00,267.00,8.143322,20
76,1,2020-05-11T00:00:00,68.00,6.00,883.00,8.211144,68
