_id,ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
132,46058,626,2149,29
144,47385,375,1612,23
153,46070,515,2351,22
156,46745,445,1841,24
158,46974,349,1699,21
166,47469,446,1749,26
167,47513,396,1841,22
174,46076,358,1696,21
175,46216,498,1697,29
179,46747,625,2693,23
183,47342,506,2693,19
187,47470,360,1735,21
188,47514,300,1559,19
194,47619,490,1696,29
195,47631,466,2042,23
196,47637,414,1507,27
199,47841,430,2138,20
203,46017,1397,6025,23
208,47163,347,1746,20
212,47360,324,1546,21
216,47848,366,1691,22
222,46068,649,2850,23
223,46105,455,1928,24
227,46571,469,5532,8
228,46702,541,2304,23
232,46788,637,3260,20
234,47038,261,1504,17
241,47561,416,1588,26
245,47840,334,1500,22
247,47862,383,1610,24
249,47951,422,2252,19
254,46147,562,3264,17
256,46763,358,1631,22
258,46986,435,1915,23
259,46991,419,1797,23
260,47115,568,2622,22
261,47145,426,1998,21
262,47230,509,2029,25
263,47272,416,2041,20
264,47273,480,1849,26
266,47373,527,2226,24
267,47436,301,1663,18
268,47527,499,1897,26
269,47579,682,2659,26
270,47581,660,3883,17
271,47850,559,2456,23
272,47922,431,1623,27
274,47977,589,2206,27
275,47995,415,1743,24
276,46030,701,3308,21
277,46056,524,2246,23
278,46065,864,3669,24
279,46149,428,1890,23
281,46510,709,3631,20
282,46532,353,1905,19
283,46543,533,3654,15
284,46737,1716,7068,24
286,46917,413,1853,22
287,46982,581,2573,23
288,47326,274,2295,12
290,47523,908,3435,26
291,47532,1123,4627,24
292,47598,972,3418,28
295,47928,353,2047,17
299,46171,417,1695,25
300,46524,324,2326,14
301,46705,434,1583,27
303,46794,279,1587,18
304,46798,307,1661,18
306,46939,416,2101,20
308,46979,1235,4733,26
311,47023,377,1636,23
312,47030,365,1636,22
313,47031,1264,5368,24
314,47037,990,4333,23
315,47042,1163,4504,26
317,47141,348,1668,21
319,47340,566,2914,19
320,47341,508,2283,22
321,47346,897,4082,22
322,47356,1493,5781,26
323,47393,282,1704,17
326,47615,344,1611,21
327,46051,660,2826,23
328,46160,1415,6421,22
329,46186,421,1753,24
330,46205,5538,25356,22
331,46278,1626,8197,20
332,46311,4933,20816,24
333,46542,967,4198,23
334,46555,641,2835,23
335,46770,653,2716,24
336,46773,941,3662,26
337,46933,1701,6414,27
338,47032,965,3289,29
339,47040,1351,5480,25
340,47041,1334,6125,22
341,47043,1354,5250,26
342,47124,1123,4264,26
343,47138,1157,4373,26
344,47164,786,3779,21
345,47232,618,2839,22
346,47320,932,4134,23
347,47383,561,2960,19
348,47394,2096,8470,25
349,47459,700,3795,18
350,47471,521,2727,19
351,47558,559,4406,13
352,47613,785,2679,29
353,47648,1449,4373,33
354,47868,535,2937,18
355,47918,1830,6321,29
356,46148,1218,5097,24
357,46320,2620,15508,17
358,46327,2177,12153,18
360,46349,733,3336,22
361,46504,674,3413,20
362,46554,887,4942,18
363,46573,878,3565,25
364,46590,1229,4908,25
365,46732,704,3169,22
366,46740,472,4060,12
367,46741,673,4647,14
368,46746,971,4036,24
369,46779,489,2166,23
370,46785,323,1542,21
371,46787,779,3893,20
372,46910,784,3360,23
373,46914,611,4908,12
374,46928,1078,4951,22
375,46929,802,3214,25
376,46938,753,3200,24
377,47024,700,3226,22
378,47118,708,3502,20
379,47283,725,3386,21
380,47305,685,4106,17
381,47353,1543,5879,26
382,47405,105,4427,2
383,47454,1978,7688,26
384,47638,1107,3577,31
385,47639,1370,4069,34
386,47725,2567,15851,16
